Ageing Time,C4 (Pred),C4 (Pred)*,C4,AE,SE,RMSE
82.01680672,80.04922969,80.04922969,80.04922969,0,0,
82.24089636,80.03895892,80.03895892,80.03895892,0,0,
82.46498599,80.02868814,80.02868814,80.02868814,0,0,
82.68907563,80.01841737,80.01841737,80.01841737,0,0,
82.91316527,80.00814659,80.00814659,80.00814659,0,0,
83.1372549,79.99787582,79.99787582,79.99787582,0,0,
83.36134454,79.98760504,79.98760504,79.98760504,0,0,
83.58543417,79.97733427,79.97733427,79.97733427,0,0,
83.80952381,79.96706349,79.96706349,79.96706349,0,0,
84.03361345,79.95679272,79.95679272,79.95679272,0,0,
84.25770308,79.94652194,79.94652194,79.94652194,0,0,
84.48179272,79.93625117,79.93625117,79.93625117,0,0,
84.70588235,79.92598039,79.92598039,79.92598039,0,0,
84.92997199,79.91570962,79.91570962,79.91570962,0,0,
85.15406162,79.90543884,79.90543884,79.90543884,0,0,
85.37815126,79.89516807,79.89516807,79.89516807,0,0,
85.6022409,79.88489729,79.88489729,79.88489729,0,0,
85.82633053,79.87462652,79.87462652,79.87462652,0,0,
86.05042017,79.86435574,79.86435574,79.86435574,0,0,
86.2745098,79.85408497,79.85408497,79.85408497,0,0,
86.49859944,79.84381419,79.84381419,79.84381419,0,0,
86.72268908,79.83354342,79.83354342,79.83354342,0,0,
86.94677871,79.82327264,79.82327264,79.82327264,0,0,
87.17086835,79.81300187,79.81300187,79.81300187,0,0,
87.39495798,79.80273109,79.80273109,79.80273109,0,0,
87.61904762,79.79246032,79.79246032,79.79246032,0,0,
87.84313725,79.78218954,79.78218954,79.78218954,0,0,
88.06722689,79.77191877,79.77191877,79.77191877,0,0,
88.29131653,79.76164799,79.76164799,79.76164799,0,0,
88.51540616,79.75137722,79.75137722,79.75137722,0,0,
88.7394958,79.74110644,79.74110644,79.74110644,0,0,
88.96358543,79.73083567,79.73083567,79.73083567,0,0,
89.18767507,79.72056489,79.72056489,79.72056489,0,0,
89.41176471,79.71029412,79.71029412,79.71029412,0,0,
89.63585434,79.70002334,79.70002334,79.70002334,0,0,
89.85994398,79.68975257,79.68975257,79.68975257,0,0,
90.08403361,79.67948179,79.67948179,79.67948179,0,0,
90.30812325,79.66921102,79.66921102,79.66921102,0,0,
90.53221289,79.65894024,79.65894024,79.65894024,0,0,
90.75630252,79.64866947,79.64866947,79.64866947,0,0,
90.98039216,79.63839869,79.63839869,79.63839869,0,0,
91.20448179,79.62812792,79.62812792,79.62812792,0,0,
91.42857143,79.61785714,79.61785714,79.61785714,0,0,
91.65266106,79.60758637,79.60758637,79.60758637,0,0,
91.8767507,79.59731559,79.59731559,79.59731559,0,0,
92.10084034,79.58704482,79.58704482,79.58704482,0,0,
92.32492997,79.57677404,79.57677404,79.57677404,0,0,
92.54901961,79.56650327,79.56650327,79.56650327,0,0,
92.77310924,79.55623249,79.55623249,79.55623249,0,0,
92.99719888,79.54596172,79.54596172,79.54596172,0,0,
93.22128852,79.53569094,79.53569094,79.53569094,0,0,
93.44537815,79.52542017,79.52542017,79.52542017,0,0,
93.66946779,79.51514939,79.51514939,79.51514939,0,0,
93.89355742,79.50487862,79.50487862,79.50487862,0,0,
94.11764706,79.4872549,79.4872549,79.4872549,0,0,
94.34173669,79.46297852,79.46297852,79.46297852,0,0,
94.56582633,79.43870215,79.43870215,79.43870215,0,0,
94.78991597,79.41442577,79.41442577,79.41442577,0,0,
95.0140056,79.39014939,79.39014939,79.39014939,0,0,
95.23809524,79.36587302,79.36587302,79.36587302,0,0,
